1,Initial q player (1),Initial q player (2),0,0,5,0.0,false,1
2,Initial q player (2),Clone gen 2 q-player,0,0,5,0.0,false,2
3,Initial q player (2),Clone gen 2 q-player,0,0,5,0.0,false,2
1,Initial q player (1),Initial q player (2),0,0,5,0.0,false,1
2,Initial q player (2),Clone gen 2 q-player,0,0,5,0.0,false,2
3,Initial q player (2),Clone gen 2 q-player,0,0,5,0.0,false,2
1,Initial q player (1),Initial q player (2),0,0,5,0.0,false,1
2,Initial q player (2),Clone gen 2 q-player,0,0,5,0.0,false,2
3,Initial q player (2),Clone gen 2 q-player,0,0,5,0.0,false,2
1,Initial q player (1),Initial q player (2),0,0,5,0.0,false,1
2,Initial q player (2),Clone gen 2 q-player,0,1,4,0.2,false,2
3,Initial q player (2),Clone gen 2 q-player,0,0,5,0.0,false,2
1,Initial q player (1),Initial q player (2),0,0,5,0.0,false,1
2,Initial q player (2),Clone gen 2 q-player,0,0,5,0.0,false,2
3,Initial q player (2),Clone gen 2 q-player,0,0,5,0.0,false,2
1,Initial q player (1),Initial q player (2),0,0,5,0.0,false,1
2,Initial q player (2),Clone gen 2 q-player,0,1,4,0.2,false,2
3,Initial q player (2),Clone gen 2 q-player,0,0,5,0.0,false,2
1,Initial q player (1),Initial q player (2),0,0,5,0.0,false,1
2,Initial q player (2),Clone gen 2 q-player,0,0,5,0.0,false,2
3,Initial q player (2),Clone gen 2 q-player,0,0,5,0.0,false,2
1,Initial q player (1),Initial q player (2),0,0,5,0.0,false,1
2,Initial q player (2),Clone gen 2 q-player,0,0,5,0.0,false,2
3,Initial q player (2),Clone gen 2 q-player,0,0,5,0.0,false,2
1,Initial q player (1),Initial q player (2),0,0,5,0.0,false,1
2,Initial q player (2),Clone gen 2 q-player,0,0,5,0.0,false,2
3,Initial q player (2),Clone gen 2 q-player,0,0,5,0.0,false,2
1,Initial q player (1),Initial q player (2),0,0,5,0.0,false,1
2,Initial q player (2),Clone gen 2 q-player,0,0,5,0.0,false,2
3,Initial q player (2),Clone gen 2 q-player,0,0,5,0.0,false,2
1,Initial q player (1),Initial q player (2),0,0,5,0.0,false,1
2,Initial q player (2),Clone gen 2 q-player,0,0,5,0.0,false,2
3,Initial q player (2),Clone gen 2 q-player,0,0,5,0.0,false,2
1,Initial q player (1),Initial q player (2),0,1,1,0.5,false,23
2,Initial q player (2),Clone gen 24 q-player,0,2,0,1.0,true,24
3,Clone gen 24 q-player,Clone gen 25 q-player,2,0,0,0.0,false,25
4,Clone gen 24 q-player,Clone gen 25 q-player,2,0,0,0.0,false,25
1,Initial q player (1),Initial q player (2),0,0,5,0.0,false,1
2,Initial q player (2),Clone gen 2 q-player,0,0,5,0.0,false,2
3,Initial q player (2),Clone gen 2 q-player,0,0,5,0.0,false,2
1,Initial q player (1),Initial q player (2),1,0,1,0.0,false,23
2,Initial q player (2),Clone gen 24 q-player,1,1,0,0.5,false,24
3,Initial q player (2),Clone gen 24 q-player,0,2,0,1.0,true,24
4,Clone gen 24 q-player,Clone gen 25 q-player,1,1,0,0.5,false,25
1,Initial q player (1),Initial q player (2),1,0,1,0.0,false,23
2,Initial q player (2),Clone gen 24 q-player,2,0,0,0.0,false,24
3,Initial q player (2),Clone gen 24 q-player,0,2,0,1.0,true,24
4,Clone gen 24 q-player,Clone gen 25 q-player,1,1,0,0.5,false,25
1,Initial q player (1),Initial q player (2),1,1,0,0.5,false,23
2,Initial q player (2),Clone gen 24 q-player,1,1,0,0.5,false,24
3,Initial q player (2),Clone gen 24 q-player,0,2,0,1.0,true,24
4,Clone gen 24 q-player,Clone gen 25 q-player,2,0,0,0.0,false,25
